date,price,spot_vol_1d,miner_balance
6/21/2016,667.2175317,248654207.9,1922791.378
6/22/2016,597.5623931,314563381.7,1923737.637
6/23/2016,627.9657566,183681749,1924300.464
6/24/2016,667.5468612,176101653.5,1925709.756
6/25/2016,665.7125861,97159862.73,1927370.736
6/26/2016,633.8908754,84470934.27,1928338.446
6/27/2016,657.0424732,89117934.36,1929216.282
6/28/2016,647.9137512,102243799.1,1927962.371
6/29/2016,637.0942855,88480546.89,1924724.82
6/30/2016,672.6324199,86046207.93,1925547.112
7/1/2016,677.7523139,92276713,1925674.561
7/2/2016,703.0031428,69324609.61,1926790.184
7/3/2016,661.4398504,95432575.4,1927876.85
7/4/2016,681.3720236,79614779.51,1928371.107
7/5/2016,669.5220392,88970965.41,1928766.696
7/6/2016,677.0219671,60603106.28,1929772.56
7/7/2016,640.7836172,150923880.3,1928353.243
7/8/2016,665.8419667,91960441.02,1928942.303
7/9/2016,657.3184541,126947481.5,1929974.042
7/10/2016,651.30478,56561157.15,1927687.669
7/11/2016,651.1524242,66599237.53,1925815.197
7/12/2016,665.2699932,91411712.72,1925847.357
7/13/2016,655.2105759,78710414.16,1926222.301
7/14/2016,660.2911245,77100913.48,1926640.171
7/15/2016,666.4306437,64845435.56,1923963.169
7/16/2016,663.3188356,32910009.19,1924818.96
7/17/2016,679.8341644,78022346.95,1924752.718
7/18/2016,675.0654188,65772454.73,1925611.506
7/19/2016,674.0658044,57848085.23,1924895.79
7/20/2016,667.3264934,99252802.01,1924958.207
7/21/2016,667.2942052,63066625.96,1925409.774
7/22/2016,653.2611166,117342491,1925775.383
7/23/2016,657.754115,59034876.74,1926491.317
7/24/2016,660.898652,91585924.84,1926866.767
7/25/2016,656.727919,68819243.56,1927315.414
7/26/2016,654.1744626,206241313.1,1927884.964
7/27/2016,656.637455,121168862.5,1927586.778
7/28/2016,654.873833,76743879.42,1928497.997
7/29/2016,657.2028417,51337987.48,1927088.716
7/30/2016,655.0710646,34474183.89,1927895.863
7/31/2016,626.678245,94158370.37,1928243.334
8/1/2016,603.07147,108348145.8,1929415.675
8/2/2016,541.1173091,282476404.7,1928242.46
8/3/2016,570.4980849,146703535,1930741.169
8/4/2016,584.287119,87807746.43,1930928.446
8/5/2016,578.7203582,41043631.54,1931130.159
8/6/2016,590.6386564,45290528.14,1931518.309
8/7/2016,594.2242426,49363915.68,1931148.217
8/8/2016,591.5945963,35409632.65,1931462.38
8/9/2016,585.9862966,64281328.22,1930271.663
8/10/2016,593.3092281,72466600.96,1922070.047
8/11/2016,586.8243344,50344404.96,1922830.781
8/12/2016,587.6670928,46501559.23,1921658.975
8/13/2016,585.606389,28286189.8,1922162.488
8/14/2016,572.7941324,35835124.87,1922704.581
8/15/2016,567.4857481,33119622.86,1922261.819
8/16/2016,578.4633278,31894428.57,1922095.131
8/17/2016,573.9991994,28507673.92,1922462.324
8/18/2016,573.6346052,28593526.05,1921104.09
8/19/2016,573.6856113,24883855.64,1921193.1
8/20/2016,580.6772171,24068654.89,1921568.666
8/21/2016,580.2640711,16421766.95,1922050.958
8/22/2016,584.5310007,47980434.52,1919490.796
8/23/2016,582.1403916,57908486.79,1918392.395
8/24/2016,578.8355713,33289142.68,1917151.903
8/25/2016,575.7225958,36107976.49,1917298.222
8/26/2016,578.7497338,28814033.41,1917524.471
8/27/2016,569.4518502,23397481.88,1918025.924
8/28/2016,575.095645,67951096.47,1918427.622
8/29/2016,572.9005311,80413811.98,1918308.043
8/30/2016,575.2640454,45098166.01,1918548.861
8/31/2016,571.196536,48730289.92,1916525.203
9/1/2016,572.5561672,54396596.01,1916842.625
9/2/2016,575.0009111,57304857.23,1917305.567
9/3/2016,598.6908473,105477384.7,1917435.37
9/4/2016,611.42278,62478433.08,1917945.22
9/5/2016,606.1033694,53569808.3,1917381.268
9/6/2016,610.3828472,55947441.18,1917674.146
9/7/2016,615.0585388,51692402.37,1917575.665
9/8/2016,627.3697009,56563590.88,1917883.054
9/9/2016,622.2820047,39745236.07,1918308.73
9/10/2016,623.2641908,25928068.14,1918397.009
